words,00s,10s,50s,80s,90s
laugh,1,0,0,0,1
laughed,0,0,0,0,1
lawyer,0,0,0,1,0
lay,0,1,1,2,1
layin,0,1,0,0,1
le,0,2,0,0,0
leadlined,0,1,0,0,0
leaf,1,0,0,0,1
lean,0,0,0,0,1
learn,0,0,0,1,2
learned,0,1,0,1,0
least,0,0,0,0,1
leave,2,1,0,2,2
leavin,0,0,1,0,0
leaving,0,1,0,0,0
ledge,1,0,0,0,0
left,2,3,1,2,4
leg,0,0,0,0,1
legend,0,0,0,0,1
lejeune,0,1,0,0,0
let,2,8,1,6,1
liberator,0,1,0,0,0
lie,3,3,3,0,2
life,8,9,0,2,4
life1embed,1,0,0,0,0
life41embed,1,0,0,0,0
lifeembed,0,1,0,0,0
lift,0,1,0,0,0
light,2,8,0,2,0
lightning,0,1,0,0,0
like,5,11,2,4,6
likebridge,1,2,0,0,0
likechorus,6,8,2,2,4
likeguitar,0,0,0,2,0
likehallelujah,0,1,0,0,0
likeits,0,1,0,0,0
likepostchorus,0,0,0,1,0
likeprechorus,1,1,0,4,1
likethese,0,1,0,0,0
likeverse,0,4,1,4,3
limitless,0,1,0,0,0
limitless2embed,0,1,0,0,0
line,2,3,1,3,0
lip,1,3,0,1,1
lipstick,0,0,0,1,0
list,0,1,0,0,0
listened,0,0,0,0,1
little,0,5,1,3,0
live,2,6,2,5,2
lived,2,1,0,0,0
livin,1,0,0,1,0
living,1,1,1,1,0
ll,1,0,2,0,1
loaded,0,0,0,2,1
lock,1,0,0,0,0
lodged,0,0,0,0,1
london,0,0,0,1,0
lonely,0,0,0,1,1
long,1,1,0,3,2
look,3,3,0,2,2
looked,0,1,0,0,0
lookin,0,1,0,1,0
looking,3,2,1,0,1
loose,0,0,0,1,0
looted,0,1,0,0,0
lord,0,1,0,0,1
lose,0,1,0,0,0
lost,1,0,0,1,0
lot,0,0,1,2,0
loud,1,1,0,0,0
love,0,12,2,7,7
loved,0,3,0,0,0
loveembed,0,2,0,0,0
loving,1,0,0,0,0
lower,0,1,0,0,0
luck,1,1,0,1,1
lucky,1,1,0,0,0
lust,0,1,0,0,0
lying,0,1,0,1,0
lyricschorus,0,2,0,1,0
lyricsintro,1,2,0,6,4
lyricsthis,0,1,0,0,0
lyricsverse,7,12,3,6,4
lyricswell,0,1,0,0,0
machine,0,1,0,0,0
mad,0,0,0,0,1
made,0,1,0,3,4
major,0,1,0,0,0
make,4,5,2,4,3
mama,1,1,0,0,0
man,2,0,1,5,4
manning,0,2,0,0,0
many,0,0,0,0,1
marble,0,1,0,0,0
march,0,1,0,0,0
marching,0,0,0,0,1
margies,0,1,0,0,0
marjory,0,1,0,0,0
mask,0,1,0,0,0
masquerade,0,0,0,0,1
masterpiece,1,0,0,0,0
matter,1,1,0,0,0
may,0,1,0,0,1
maybe,0,3,1,0,0
me,2,3,0,4,1
me1embed,0,0,0,1,0
me4embed,1,0,0,0,0
meadow,0,2,0,0,0
mean,0,0,2,0,1
meant,0,1,0,1,2
medal,0,1,0,0,0
medication,0,1,0,0,0
medicine,0,0,0,2,0
medicine8embed,0,0,0,1,0
medium,0,1,0,0,0
meet,0,1,1,1,0
melody,2,0,0,0,0
memory,3,3,0,0,1
memoryembed,1,0,0,0,0
men,0,3,0,1,0
mercy,0,2,0,0,0
merrygoround,0,1,0,0,0
message,0,0,0,1,0
met,0,3,0,0,0
middle,0,1,0,0,0
midnight,0,0,0,0,1
might,8,18,3,13,8
mighty,0,1,0,0,0
mile,1,2,0,1,0
million,1,1,0,1,0
mind,2,1,0,1,2
mine,2,0,0,1,1
minor,0,1,0,0,0
minute,0,1,0,1,0
miracle,1,0,0,0,0
mirror,0,1,0,0,0
miss,0,0,1,0,0
missing,0,1,0,0,0
mistake,1,1,0,0,1
mistress,0,0,0,0,1
misunderstood,1,0,0,0,0
mm,0,0,0,1,0
mom,0,1,0,0,0
moment,0,2,0,0,1
momma,0,0,0,0,1
monday,0,0,1,0,1
money,0,0,0,1,1
monkey,0,0,0,1,0
month,0,1,0,0,0
moonlight,0,1,0,0,0
more,0,0,0,0,1
morning,0,1,0,0,1
motel,0,0,0,1,1
mother,0,2,0,0,1
motor,0,0,1,0,0
mountain,0,4,0,0,0
mouth,1,0,0,0,0
move,0,5,0,0,0
moved,0,2,0,0,1
movement,0,1,0,0,0
movie,0,0,0,0,1
moving,0,1,0,0,0
much,1,1,0,0,2
music,0,1,0,0,0
must,0,0,0,2,0
mystery,2,1,0,0,0
mystifies,0,1,0,0,0
na,0,0,0,1,0
nah,0,0,0,1,0
nail,0,1,0,1,1
name,1,2,0,2,2
name34embed,0,0,0,1,0
nana,0,0,0,1,0
nana4embed,0,0,0,1,0
nanana,0,0,0,1,0
nasty,0,0,0,1,0
near,0,1,0,0,1
necktie,0,1,0,0,0
need,1,8,1,4,3
needed,0,1,0,0,0
needing,0,0,0,0,1
needle,0,0,0,1,0
neighbor,0,2,0,0,0
neon,0,0,0,1,0
nervous,0,2,0,0,0
nevada,0,1,0,0,0
never,3,7,2,5,3
new,1,1,1,1,0
news,0,2,0,0,0
next,0,2,0,0,0
nice,1,0,0,1,0
night,2,7,1,9,5
nightembed,0,0,0,0,1
nightmare,0,1,0,0,1
nineteen,0,1,0,0,0
no,0,0,0,0,1
no3embed,0,0,0,0,1
nobody,0,0,0,1,2
noose,0,1,0,0,0
not,0,0,0,0,1
nothin,0,3,0,0,0
nothing,1,4,0,3,6
noticed,0,1,0,0,0
now,1,2,0,0,0
nowhere,0,1,0,2,0
number,0,2,0,0,0
numbered,0,1,0,0,0
nurse,0,2,0,1,0
ocean,0,1,0,0,0
octane,0,0,0,1,0
offer,0,3,0,0,0
oh,3,4,1,5,4
ohembed,0,1,0,0,0
ohh,1,0,0,0,0
ohio,0,1,0,0,0
ohoh,0,1,0,0,0
ohohoh,0,1,1,1,0
ohohohoh,0,0,0,0,1
ohohohohoh,0,0,1,0,0
oil,0,0,0,0,1
ok,1,0,0,0,0
okay,0,0,0,2,1
old,3,3,0,1,4
older,0,2,0,0,0
on,0,0,0,2,1
once,0,1,0,0,0
one,6,12,1,7,4
onto,1,0,0,0,0
ooh,0,0,0,5,2
open,1,3,0,0,1
order,0,1,0,0,0
orlando,0,1,0,0,0
others,0,0,0,1,0
our,0,1,0,0,0
out,0,1,0,1,0
outdrew,0,1,0,0,0
outro,4,5,3,8,2
outro1embed,0,0,0,0,1
outside,2,3,0,1,0
overthrew,0,1,0,0,0
pack,0,0,0,0,1
packed,0,0,0,0,1
page,1,2,0,0,0
paid,1,0,0,0,1
